sender,receiver,weight,mode_sender,mode_receiver
13101,13107,10,hybrid,hybrid
13101,12102,6.4,hybrid,hybrid
13101,16207,8.1,hybrid,online
13107,13101,6.4,hybrid,hybrid
13107,13110,8.1,hybrid,hybrid
13107,14103,2.5,hybrid,online
13107,13109,10,hybrid,hybrid
13107,11101,4.9,hybrid,NA
13107,11104,1.6,hybrid,NA
13107,14102,3.6,hybrid,hybrid
14205,10101,10,online,hybrid
14205,12202,8.1,online,online
14205,14204,3.6,online,online
14205,14211,6.4,online,online
14205,12201,2.5,online,online
14205,14208,4.9,online,online
10101,10205,8.1,hybrid,online
10101,10206,6.4,hybrid,online
10101,20108,10,hybrid,online
10101,11101,3.6,hybrid,NA
10101,10207,4.9,hybrid,NA
13103,12102,10,hybrid,hybrid
13103,12104,8.1,hybrid,hybrid
13103,13110,2.5,hybrid,hybrid
13103,13102,6.4,hybrid,hybrid
13103,14103,1.6,hybrid,online
13103,15105,0.9,hybrid,hybrid
13103,15103,3.6,hybrid,NA
13103,20110,0.4,hybrid,online
13103,14102,4.9,hybrid,hybrid
12102,13107,1.6,hybrid,hybrid
12102,14101,6.4,hybrid,hybrid
12102,12104,10,hybrid,hybrid
12102,13110,8.1,hybrid,hybrid
12102,15101,0.9,hybrid,hybrid
12102,14103,2.5,hybrid,online
12102,13109,4.9,hybrid,hybrid
12102,11104,0.1,hybrid,NA
12102,15104,3.6,hybrid,hybrid
12102,20103,0.4,hybrid,NA
14101,13103,0.9,hybrid,hybrid
14101,12102,8.1,hybrid,hybrid
14101,12104,10,hybrid,hybrid
14101,15101,4.9,hybrid,hybrid
14101,13102,0.4,hybrid,hybrid
14101,14103,3.6,hybrid,online
14101,15104,1.6,hybrid,hybrid
14101,20110,6.4,hybrid,online
14101,14102,2.5,hybrid,hybrid
12104,13107,3.6,hybrid,hybrid
12104,12102,8.1,hybrid,hybrid
12104,14101,4.9,hybrid,hybrid
12104,15101,6.4,hybrid,hybrid
12104,20110,10,hybrid,online
13108,13103,3.6,hybrid,hybrid
13108,13110,10,hybrid,hybrid
13108,13106,6.4,hybrid,hybrid
13108,13102,8.1,hybrid,hybrid
13108,14202,4.9,hybrid,online
13108,13104,2.5,hybrid,NA
13110,13101,0.4,hybrid,hybrid
13110,13107,8.1,hybrid,hybrid
13110,10101,0.9,hybrid,hybrid
13110,12102,10,hybrid,hybrid
13110,13108,2.5,hybrid,hybrid
13110,13102,3.6,hybrid,hybrid
13110,14103,4.9,hybrid,online
13110,13109,6.4,hybrid,hybrid
13110,14202,1.6,hybrid,online
15101,14101,8.1,hybrid,hybrid
15101,12104,10,hybrid,hybrid
15101,15104,6.4,hybrid,hybrid
13106,13107,6.4,hybrid,hybrid
13106,13108,10,hybrid,hybrid
13106,13110,8.1,hybrid,hybrid
13102,13107,2.5,hybrid,hybrid
13102,12102,3.6,hybrid,hybrid
13102,13108,8.1,hybrid,hybrid
13102,13110,4.9,hybrid,hybrid
13102,14103,10,hybrid,online
13102,13109,1.6,hybrid,hybrid
13102,20107,6.4,hybrid,online
14103,13107,1.6,online,hybrid
14103,12102,10,online,hybrid
14103,13110,6.4,online,hybrid
14103,13102,8.1,online,hybrid
14103,12202,0.9,online,online
14103,14211,0.4,online,online
14103,13109,4.9,online,hybrid
14103,14102,2.5,online,hybrid
14103,13105,3.6,online,NA
14103,10203,0.1,online,NA
12203,10101,1.6,online,hybrid
12203,12202,10,online,online
12203,10206,3.6,online,online
12203,12201,8.1,online,online
12203,12204,4.9,online,online
12203,12205,6.4,online,NA
12203,10203,2.5,online,NA
12202,12102,6.4,online,hybrid
12202,12203,10,online,online
12202,12205,8.1,online,NA
15105,13107,3.6,hybrid,hybrid
15105,13103,2.5,hybrid,hybrid
15105,15101,6.4,hybrid,hybrid
15105,15103,10,hybrid,NA
15105,13109,8.1,hybrid,hybrid
15105,14102,4.9,hybrid,hybrid
10205,10101,6.4,online,hybrid
10205,10206,10,online,online
10205,10207,8.1,online,NA
10206,10101,8.1,online,hybrid
10206,10205,10,online,online
10206,10207,6.4,online,NA
10206,10204,4.9,online,NA
14204,14205,6.4,online,online
14204,12102,2.5,online,hybrid
14204,14211,10,online,online
14204,14209,3.6,online,hybrid
14204,14210,4.9,online,online
14204,14208,8.1,online,online
14211,12202,4.9,online,online
16202,16201,10,hybrid,online
16202,16207,0.9,hybrid,online
16202,16203,8.1,hybrid,online
16202,16205,3.6,hybrid,online
16202,16204,2.5,hybrid,online
16202,16209,1.6,hybrid,online
16202,16208,4.9,hybrid,NA
16202,16206,6.4,hybrid,online
16201,12102,6.4,online,hybrid
16201,12202,3.6,online,online
16201,16202,0.1,online,hybrid
16201,16207,10,online,online
16201,16203,8.1,online,online
16201,16205,1.6,online,online
16201,16204,0.4,online,online
16201,16209,2.5,online,online
16201,16208,0.9,online,NA
16201,16206,4.9,online,online
16207,12102,10,online,hybrid
16207,16201,8.1,online,online
16207,16203,4.9,online,online
16207,16205,6.4,online,online
16207,16204,2.5,online,online
16207,16208,3.6,online,NA
16207,16206,1.6,online,online
13109,13107,8.1,hybrid,hybrid
13109,12102,0.9,hybrid,hybrid
13109,13110,6.4,hybrid,hybrid
13109,14103,2.5,hybrid,online
13109,11101,4.9,hybrid,NA
13109,20101,10,hybrid,NA
13109,14102,1.6,hybrid,hybrid
13109,20109,3.6,hybrid,online
12206,12203,8.1,online,online
12206,12202,4.9,online,online
12206,12201,10,online,online
12206,12204,6.4,online,online
12206,12205,3.6,online,NA
12201,12102,4.9,online,hybrid
12201,13110,1.6,online,hybrid
12201,12203,8.1,online,online
12201,12202,6.4,online,online
12201,12206,0.9,online,online
12201,14209,0.1,online,hybrid
12201,12204,10,online,online
12201,11104,3.6,online,NA
12201,12101,0.4,online,hybrid
12201,13104,2.5,online,NA
20112,20111,10,online,online
20112,12101,8.1,online,hybrid
20112,20105,6.4,online,online
10201,10101,6.4,online,hybrid
10201,20108,10,online,online
10201,10202,8.1,online,NA
20102,10101,0.1,hybrid,hybrid
20102,13103,4.9,hybrid,hybrid
20102,13108,8.1,hybrid,hybrid
20102,13110,2.5,hybrid,hybrid
20102,11101,10,hybrid,NA
20102,15104,1.6,hybrid,hybrid
20102,13104,6.4,hybrid,NA
20102,13105,3.6,hybrid,NA
20102,20106,0.9,hybrid,online
20102,20103,0.4,hybrid,NA
14206,14205,0.9,hybrid,online
14206,10101,6.4,hybrid,hybrid
14206,12202,8.1,hybrid,online
14206,12201,0.1,hybrid,online
14206,14209,10,hybrid,hybrid
14206,14210,1.6,hybrid,online
14206,14201,0.4,hybrid,NA
14206,14202,2.5,hybrid,online
14206,14203,3.6,hybrid,online
14206,14208,4.9,hybrid,online
14209,10101,10,hybrid,hybrid
14209,12202,8.1,hybrid,online
14209,14211,0.1,hybrid,online
14209,12201,6.4,hybrid,online
14209,14206,0.9,hybrid,hybrid
14209,14210,1.6,hybrid,online
14209,14201,0.4,hybrid,NA
14209,14203,3.6,hybrid,online
14209,14208,2.5,hybrid,online
14209,14207,4.9,hybrid,NA
16203,12102,3.6,online,hybrid
16203,12202,2.5,online,online
16203,16201,10,online,online
16203,16209,4.9,online,online
16203,16208,6.4,online,NA
16203,16206,8.1,online,online
12204,12102,2.5,online,hybrid
12204,12202,0.9,online,online
12204,12201,3.6,online,online
16205,12102,2.5,online,hybrid
16205,12202,3.6,online,online
16205,16201,1.6,online,online
16205,16207,8.1,online,online
16205,16204,10,online,online
16205,16209,4.9,online,online
16205,16208,6.4,online,NA
16204,16201,2.5,online,online
16204,16207,3.6,online,online
16204,16203,4.9,online,online
16204,16205,10,online,online
16204,16209,6.4,online,online
16204,16208,8.1,online,NA
16209,12102,8.1,online,hybrid
16209,16201,0.4,online,online
16209,16207,3.6,online,online
16209,16203,4.9,online,online
16209,16205,2.5,online,online
16209,16204,1.6,online,online
16209,16208,10,online,NA
16209,16206,0.9,online,online
16209,12103,6.4,online,NA
10209,13103,4.9,online,hybrid
10209,12204,3.6,online,online
10209,11104,10,online,NA
10209,14202,2.5,online,online
10209,10202,6.4,online,NA
10209,10208,8.1,online,NA
14210,14204,4.9,online,online
14210,14211,3.6,online,online
14210,14209,8.1,online,hybrid
14210,14201,10,online,NA
14210,14208,6.4,online,online
16206,12102,8.1,online,hybrid
16206,12202,4.9,online,online
16206,16203,10,online,online
16206,14202,6.4,online,online
14202,13108,8.1,online,hybrid
14202,13110,10,online,hybrid
14202,14211,6.4,online,online
14202,12201,4.9,online,online
14202,14209,1.6,online,hybrid
14202,11104,3.6,online,NA
14202,14201,2.5,online,NA
14203,10101,4.9,online,hybrid
14203,12202,3.6,online,online
14203,14211,8.1,online,online
14203,14209,10,online,hybrid
14203,14202,6.4,online,online
15104,12102,10,hybrid,hybrid
15104,14101,6.4,hybrid,hybrid
15104,15101,8.1,hybrid,hybrid
12101,12102,1.6,hybrid,hybrid
12101,15101,10,hybrid,hybrid
12101,13102,2.5,hybrid,hybrid
12101,12201,0.9,hybrid,online
12101,20112,8.1,hybrid,online
12101,20111,6.4,hybrid,online
12101,11104,3.6,hybrid,NA
12101,11103,4.9,hybrid,NA
12101,15102,0.4,hybrid,NA
14102,13107,10,hybrid,hybrid
14102,13109,8.1,hybrid,hybrid
14102,11101,6.4,hybrid,NA
20104,11104,8.1,hybrid,NA
20104,12103,10,hybrid,NA
20104,11102,6.4,hybrid,NA
14208,12202,6.4,online,online
14208,11104,4.9,online,NA
