from,to,weight
1,2,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,12,1
1,17,1
1,21,1
1,23,1
1,25,1
1,27,1
2,1,1
2,5,1
2,10,1
2,11,1
2,17,1
2,21,1
3,1,1
3,4,1
3,8,1
3,10,1
4,1,1
4,12,1
4,16,1
4,21,1
4,26,1
5,1,1
5,2,1
5,4,1
5,6,1
5,7,1
5,8,1
5,9,1
5,11,1
5,12,1
5,13,1
5,14,1
5,17,1
5,18,1
5,21,1
5,22,1
5,25,1
5,27,1
6,1,1
6,5,1
6,9,1
6,11,1
6,12,1
6,13,1
6,14,1
7,1,1
7,3,1
7,4,1
7,9,1
7,13,1
7,23,1
8,1,1
8,3,1
8,4,1
8,5,1
8,7,1
8,9,1
8,10,1
8,11,1
8,13,1
8,21,1
8,24,1
8,25,1
8,26,1
8,27,1
9,1,1
9,6,1
9,7,1
9,11,1
9,13,1
9,18,1
9,20,1
9,21,1
9,23,1
9,24,1
9,25,1
9,26,1
9,27,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,7,1
10,8,1
10,11,1
10,12,1
10,13,1
10,17,1
10,21,1
10,22,1
10,27,1
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
11,12,1
11,13,1
11,14,1
11,18,1
11,20,1
11,21,1
11,23,1
11,25,1
11,27,1
12,1,1
12,2,1
12,4,1
12,5,1
12,6,1
12,21,1
12,25,1
12,27,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,23,1
13,27,1
14,4,1
14,6,1
14,7,1
14,11,1
14,17,1
14,22,1
15,8,1
15,16,1
16,8,1
16,10,1
16,15,1
16,20,1
17,1,1
17,4,1
17,5,1
17,14,1
17,22,1
18,5,1
18,9,1
18,23,1
18,25,1
20,11,1
20,23,1
21,1,1
21,2,1
21,4,1
21,5,1
21,7,1
21,9,1
21,14,1
21,18,1
21,23,1
21,25,1
21,26,1
21,27,1
22,2,1
22,14,1
22,17,1
22,21,1
22,25,1
22,26,1
23,1,1
23,9,1
23,25,1
24,23,1
25,1,1
25,5,1
25,9,1
25,11,1
25,12,1
25,18,1
25,21,1
25,22,1
25,23,1
25,27,1
26,4,1
26,21,1
26,22,1
27,1,1
27,4,1
27,5,1
27,7,1
27,9,1
27,11,1
27,12,1
27,13,1
27,14,1
27,20,1
27,23,1
27,25,1