id,gender,achievement,gender_num,achievement_num
1,female,high,1,1
2,male,average,0,2
3,female,average,1,2
4,male,high,0,1
5,female,average,1,2
6,female,average,1,2
7,female,high,1,1
8,female,average,1,2
9,female,high,1,1
10,male,low,0,3
11,male,high,0,1
12,male,low,0,3
13,female,low,1,3
14,female,average,1,2
15,female,average,1,2
16,female,low,1,3
17,female,low,1,3
18,female,average,1,2
19,male,low,0,3
20,male,low,0,3
21,male,average,0,2
22,female,low,1,3
23,male,low,0,3
24,male,high,0,1
25,female,high,1,1
26,female,low,1,3
27,male,high,0,1